key,mac
34808,9A440408B9E6
47209,9AEBF03D6C71
77667,9A83FEE527ED
37164,9A1EFA22954F
19399,9A8BAD65897A
81359,9A7E5F0AA96E
46885,9A2352143710
49936,9A64E7EC1961
87215,9A9ACAC19F58
30275,9A62CD31BCA7
60576,9A9631630C8B
57950,9A3D7D324123
90636,9A145BEB4F1B
69525,9AC160CBF023
30490,9AF7101667AD
81077,9A247466D96D
35836,9A1C08D357C0
13362,9A5C04C0672B
42935,9A916EDD6BCD
34104,9AC869ABF992
87305,9AA57A6A4DEE
44594,9A994256EF8D
75073,9A8ADD7B2B48
69775,9A584E07E1D2
86377,9AD942D64492
53172,9A204CD84F51
3216,9A301D201F12
94075,9A30432526E0
20820,9A482A56AC1F
27285,9A10313A6C10
57916,9A96C7DBF924
25635,9ADEEBED78E6
47659,9A2D992DADFA
75994,9A08F41CD3FE
45178,9A42BB1E591C
43666,9ABEEA917E09
27937,9A8CB541AE01
23668,9AE27D897233
84808,9A5CCFCAABB9
41171,9A5D78CC35F4
17453,9AA8C838FCFF
94360,9A0606B61E1C
89755,9ADC2875B9F0
48152,9AAB11C75CBA
63488,9AA151840F77
64873,9A5248597CA8
80829,9AB3843A263E
44773,9A4369C976A9
20990,9A6D67F3FAC7
52396,9A5CFF357A1C
14298,9AEAEC415D58
24222,9AAE9DF53F88
26481,9A575898FA74
13371,9AF1FF160EA3
81046,9A87670A49E7
20834,9AF66F053520
44453,9A682C79FE3E
12536,9AF90411D7C0
30324,9A44A82A6DCE
88666,9A0E4D9074BC
44096,9A6D276A32DC
9396,9A5972390993
39556,9A1A94CB4182
57952,9A8B613FBCEC
81530,9A90B0D4407D
4059,9AEB3AE54BD7
34465,9AA30FDA56CC
25545,9A90DA8FCF9A
59363,9A3EFBA92582
94692,9AEED52973E6
45582,9ADD2BDFD8A3
40296,9ABF9EE78FA9
26443,9A272A93DC2B
15255,9A861BA4AE16
54832,9A72FA6C8044
98304,9AE481B52DDF
45484,9A138AFAB798
45169,9A043EDF2706
871,9A8B58490D8C
40553,9AADFF8C10EE
41252,9A22B8FF29F0
23746,9ACF93F9F3DA
88536,9A2C25FDAF53
8147,9A0B844D5F3F
9481,9AE548D3CAAE
40326,9A877310D79E
69292,9A1A96B95343
33892,9A0FF13D7AF3
1781,9AA523248D64
95072,9A478E3A7A8E
77289,9AADDDBC6CE3
33882,9AAFC9F43ED8
13828,9A0F5135DE9C
23264,9AB303208236
43505,9A2B720ABD3B
83878,9A7D14FAC4C7
74598,9A6292A7B5B2
89107,9A7158F82A57
43765,9AF43AE98338
41693,9ACC2E4A10F1
128,9AAF05C9A3D6
39286,9A5C9B7E20A4
51673,9A6996ED0139
92889,9AF8C5390FCD
74829,9A5D0039FCB5
97606,9A00B3E13641
38887,9ACBCEFCB66F
18273,9A4978999F7C
52485,9A9B071A58BB
28463,9A25BFEDEBF0
41459,9A6AF225953D
97216,9AB58EF0E131
56077,9AB1B2B4FEB0
28373,9ADCA0796D47
83229,9A3B32EC8A9B
57313,9A312D55A564
73063,9AE81A89B021
5566,9AEEE44813B1
48763,9AA0A0EEBDA1
26603,9A43E4DF006C
50653,9AAE4EBA9150
4804,9A859AFD291B
82614,9AA6BC6CB609
42089,9A0681A0C505
27558,9A9FE381B84B
20149,9A9BA8033F47
6538,9A52C1478B7F
41994,9A165698CE6D
34004,9A007DD45916
43815,9AEC4A5C7CF0
92199,9AF5742D7906
97688,9ACFE7CF342F
4157,9A8AC8191281
51340,9A4486C2F13B
3694,9A2911777DE4
72138,9A32991EFB30
29054,9A354B2D4503
3913,9A1411A47595
94982,9AEC1DC86FC5
57768,9A66CE988A74
68862,9AB6FAD504CD
82496,9ACD3D2DD70F
91105,9A14AE696132
98403,9AC341C1F860
36804,9A28C655FB14
26611,9A308441EE06
12271,9A4C22242DA7
84076,9AF976280A9D
18015,9A55BBD821D9
53974,9A3004CD3EE1
98449,9A212A344A9E
92041,9A58E0F63DAA
49577,9A84E7C30E1A
64134,9ABC4D2B7237
16572,9ADD352752CB
45967,9A14F944BE8C
36307,9AB14F84D064
65894,9A2F4F6CAAE9
65403,9AF2FE617072
82232,9A00FE86FD5E
83997,9AD46E74ABE3
54451,9A13DD5066BE
25703,9A5C7923CD9E
37235,9AE03D537D61
8389,9AD052685D24
10595,9AE6684C4396
66803,9A4DD9A36408
88290,9A0A8E894111
37586,9A78270BCFD1
292,9A6D2C14E372
14227,9A57DA9E826B
77965,9A5E9545BA4A
